stn,Year,Month,Monthly Rainfall(mm),Evapotranspiration (mm),Earth Skin Temperature,Water depth(m)
RSM-07,2019,8,20.8,74.9,28.66,5.01
RSM-07,2019,9,3,85.8,27.99,4.59
RSM-07,2019,10,1.1,64.4,26.27,4.15
RSM-07,2019,11,70.1,106.6,25.96,5.2
RSM-07,2019,12,118.9,94.5,24.92,6.1
RSM-17,2017,1,134,93.1,25.08,6.3
RSM-17,2017,2,134.5,106,25.81,6.26
RSM-17,2017,3,225.5,104.5,27.16,6.36
RSM-17,2017,4,66,64.7,30.41,6.8
RSM-17,2017,5,32.5,75.8,29.49,7.59
RSM-17,2017,6,89.8,72.8,28.98,8.39
RSM-17,2017,7,57,68.9,29.77,8.66
RSM-17,2017,8,109.3,86.5,28.98,8.09
RSM-17,2017,9,4.1,102,28.43,7.12
RSM-17,2017,10,12.3,64.9,28.23,6.41
RSM-17,2017,11,111,97.2,25.61,6.37
RSM-17,2017,12,158.9,109.4,24.86,6.72
RSM-17,2018,1,45,107.1,24.8,7.05
RSM-17,2018,2,396.8,100.8,27.31,6.99
RSM-17,2018,3,229.7,81.1,28.81,6.68
RSM-17,2018,4,100.7,55.2,29.97,6.26
RSM-17,2018,5,23.5,85.4,27.19,5.92
RSM-17,2018,6,40.1,68.1,27.23,5.57
RSM-17,2018,7,124.6,56.7,28.28,5.12
RSM-17,2018,8,219.3,59.5,28.76,4.51
RSM-17,2018,9,2.9,54.6,30.02,4.06
RSM-17,2018,10,0.6,71.7,26.46,4.15
RSM-17,2018,11,53.7,97,25.26,5.01
RSM-17,2018,12,134.4,97,24.55,6.16
RSM-17,2019,1,0,98,24.12,7.05
RSM-17,2019,2,370.9,57.3,26.81,7.19
RSM-17,2019,3,237.6,64.6,30.16,6.83
RSM-17,2019,4,327.3,53.2,32.26,6.26
RSM-17,2019,5,91.9,86.4,31.4,5.8
RSM-17,2019,6,2.9,74.9,30.88,5.43
RSM-17,2019,7,111.7,63.2,30.72,5.12
RSM-17,2019,8,24.6,63.5,28.66,4.8
RSM-17,2019,9,2.7,62,27.99,4.47
RSM-17,2019,10,1.5,67,26.27,4.15
RSM-17,2019,11,59.6,92.6,25.96,5.09
RSM-17,2019,12,123.8,94.1,24.92,5.9
RSM-18,2017,1,139.4,90.2,25.08,4.94
RSM-18,2017,2,135.1,103.2,25.81,5.49
RSM-18,2017,3,232.1,77.9,27.16,5.95
RSM-18,2017,4,76.8,66.7,30.41,6.4
RSM-18,2017,5,37.7,93.2,29.49,6.71
RSM-18,2017,6,105.1,83.1,28.98,6.79
RSM-18,2017,7,57.1,74.3,29.77,6.51
RSM-18,2017,8,120.9,89.5,28.98,5.81
RSM-18,2017,9,5,101.4,28.43,5.03
RSM-18,2017,10,9.8,62.3,28.23,4.63
RSM-18,2017,11,113.8,102.1,25.61,4.87
RSM-18,2017,12,167.2,113.2,24.86,5.53
RSM-18,2018,1,43.5,111.8,24.8,6.34
RSM-18,2018,2,422.9,104.4,27.31,6.98
RSM-18,2018,3,239.3,75.1,28.81,7.33
RSM-18,2018,4,106.2,58.1,29.97,7.42
RSM-18,2018,5,29.9,87.2,27.19,7.16
RSM-18,2018,6,46.6,81.4,27.23,6.51
RSM-18,2018,7,127.2,69.5,28.28,5.54
RSM-18,2018,8,234.5,64.1,28.76,4.26
RSM-18,2018,9,3.5,77.9,30.02,3.18
RSM-18,2018,10,0.4,77.7,26.46,2.85
RSM-18,2018,11,42.5,98.3,25.26,3.6
RSM-18,2018,12,155,98.5,24.55,4.95
RSM-18,2019,1,0,111.9,24.12,6.34
RSM-18,2019,2,377.4,85,26.81,7.2
RSM-18,2019,3,257.7,68.1,30.16,7.51
RSM-18,2019,4,354.7,31.7,32.26,7.42
RSM-18,2019,5,84.7,78,31.4,7
RSM-18,2019,6,2.5,63,30.88,6.33
RSM-18,2019,7,119,57.1,30.72,5.54
RSM-18,2019,8,33.5,56.1,28.66,4.66
RSM-18,2019,9,3.3,57.2,27.99,3.75
RSM-18,2019,10,1.1,56.5,26.27,2.85
RSM-18,2019,11,64.1,97.8,25.96,3.9
RSM-18,2019,12,110.2,105.4,24.92,4.56
RSM-24,2017,1,148.1,95.4,25.08,2.1
RSM-24,2017,2,136.6,119.5,25.81,2.41
RSM-24,2017,3,235,99.2,27.16,2.71
RSM-24,2017,4,87.9,63.8,30.41,3.08
RSM-24,2017,5,42.7,76,29.49,3.45
RSM-24,2017,6,122.1,85,28.98,3.67
RSM-24,2017,7,59.8,75.5,29.77,3.51
RSM-24,2017,8,129.8,93.9,28.98,2.84
RSM-24,2017,9,6.5,117.6,28.43,1.99
RSM-24,2017,10,11.2,68.3,28.23,1.42
